"","Asset_1","Asset_2"
"1",1.24111154275518,1.20123446759912
"2",1.24111154275518,1.70109989615091
"3",1.21219037924992,1.58047479735496
"4",1.30474490010281,1.47667046509663
"5",1.46742886488654,1.40494986124135
"6",1.68134321027334,1.30782557498648
"7",1.5721353439005,1.28870198035478
"8",1.57485068062646,1.20007512957573
"9",1.46824605291293,1.11966426929978
"10",1.37396436021565,1.06349550472338
"11",1.61984708446946,1.20999459852793
"12",1.51145130294812,1.22694902396172
"13",1.41062433147254,1.33436945222689
"14",1.60482321039453,1.37881430809795
"15",2.62830852796657,1.64409918896988
"16",2.48586139154542,1.51441582700372
"17",2.54703257303392,1.39737835365398
"18",2.78490170016914,1.2983992640978
"19",2.79991639411543,1.66096127087944
"20",2.63834485745878,1.55780938215696
"21",2.55748048006195,1.45257239531885
"22",2.36569166334512,1.38672006879449
"23",2.47065472390135,1.28379277448812
"24",2.42534538760532,1.25726733002664
"25",2.32132270461227,1.24918337297724
"26",2.1574069026489,1.16675172977031
"27",2.29989636587998,1.49307996836855
"28",2.419040668695,1.47032511288074
"29",2.30260233095817,1.69863101205427
"30",2.11029177745226,1.57521543170706
"31",2.07815111444382,1.48399911968051
"32",1.91193478682907,1.58836673541585
"33",1.84004049737269,1.53780541209791
"34",1.97700264782514,1.90083101524125
"35",1.89503120560652,1.75322830810137
"36",2.1755175079806,1.71994692599793
"37",2.39717332236946,1.78663380287851
"38",2.5026033561791,2.0192147540488
"39",2.32957811975334,1.87476453122078
"40",2.25885273822858,1.73428658491256
"41",2.16964810501635,1.59516741478493
"42",2.00571310863407,1.47351984858337
"43",1.86099371524516,1.39454451366367
"44",2.28002996277518,1.58642362279502
"45",2.45488620336987,2.13665164706179
"46",2.431758111715,1.9578918003355
"47",2.34398063123179,1.81864431907491
"48",2.4411489017461,1.78123090660257
"49",2.36884834816901,1.63728832341681
"50",2.37556719289763,1.71832509969648
"51",2.49261616400378,1.63344427995188
"52",2.48711943034881,1.58982406793575
"53",2.27979422511515,1.48432097191284
"54",2.1060791591784,1.38336492965925
"55",1.9914848864304,1.31662492082818
"56",1.96458341677925,1.26227631076753
"57",2.15405120164253,1.21075561315456
"58",3.61724532585123,1.12486044126532
"59",3.71606778977608,1.16893937158562
"60",3.5031470706029,1.21836300853219
"61",3.3259255375547,1.14366949011219
"62",3.0460675518078,1.11171496079469
"63",2.8472734814362,1.11843552099632
"64",2.73862542988688,1.08863728326483
"65",2.83728088387641,1.07468186265781
"66",2.63416609745304,1.19421584995341
"67",2.81062739993354,1.12121140563732
"68",2.68122166901136,1.04372718415082
"69",2.57453764481087,0.98536771495739
"70",2.50533523559845,0.936961194429599
"71",2.46641029607355,1.11123386095546
"72",2.35556049616036,1.35183835192242
"73",2.67266500303109,2.48630817175763
"74",2.74649726325296,2.29971075697055
"75",2.77784309292792,2.1254459594285
"76",2.58270987697715,2.05737546804977
"77",2.42226122434017,1.90608026481277
"78",2.36172656142858,1.75648977616431
"79",2.18209115459004,1.64729080254375
"80",2.21711641082889,1.75649818124327
"81",2.04216476486268,1.70055546526655
"82",1.94927898881763,1.78705840309839
"83",1.79999119158668,1.65126403683866
"84",1.75479921336296,1.62683086127078
"85",1.74997044452964,1.88811339618928
"86",1.63100529644787,1.84036018033248
"87",1.56403883992653,1.71386512742035
"88",1.70483759313657,1.57999325266448
"89",1.66664466298605,1.54855653293558
"90",1.73995863912895,1.68666946620582
"91",1.63480519688979,1.57872198466441
"92",1.59225168386385,1.46569211781499
"93",1.51794374301583,1.38572035287701
"94",1.46998101158983,1.30302185827961
"95",1.38908523253289,1.44230188580891
"96",1.38158018597639,1.33237885597282
"97",1.29488598148499,1.4561408416007
"98",1.47880626193641,1.47461953145567
"99",1.37406282720671,1.54390258908575
"100",1.46591038368113,1.44089044436621
"101",1.4373880369017,1.65312223712659
"102",1.48685170758949,1.56790144968928
"103",1.42357756833636,1.48229406695413
"104",1.3502567642396,1.36876941463515
"105",1.51682913021744,1.28754224948365
"106",2.0186186183024,1.21737967809659
"107",1.85948779139359,1.13453298366739
"108",1.70850276540566,1.16859171219856
"109",1.63541083032621,1.09830290272436
"110",1.58649216749287,1.23484250052808
"111",1.54549935028469,1.23213117312941
"112",1.61979080299255,1.21774428782529
"113",1.7147546134973,1.13973038777117
"114",1.6886798798199,1.0715106899286
"115",1.61575431341124,1.00356324525075
"116",1.62823664442457,1.38731966268335
"117",1.54036765762514,1.29906034588029
"118",1.66001978248905,1.37994874881385
"119",1.61247758357651,1.28584788664721
"120",1.67803845351602,1.37063649552153
"121",1.62194304850828,1.27193810072266
"122",1.87648149163971,1.20252315241239
"123",1.87096153465395,1.16361597310947
"124",1.73620425907598,1.08547276913049
"125",1.62851619995274,1.20913979288495
"126",1.69456696485148,1.13030367133265
"127",1.65342418288749,1.07090286258854
"128",1.52459902170848,1.10463943860484
"129",1.57569530144195,1.03605532535274
