"","x"
"1",0.541437908921585
"2",0.645414301378478
"3",0.648888051102181
"4",0.643670770800158
"5",0.676377059882339
"6",0.639383119558667
"7",0.633780301131075
"8",0.625066404546918
"9",0.622909992297529
"10",0.615504773616581
"11",0.638507029612709
"12",0.630478524742445
"13",0.613177783594848
"14",0.620335930243376
"15",0.652901110039597
"16",0.650199896271706
"17",0.643580193283004
"18",0.631825236259799
"19",0.486492900647572
"20",0.492102472129699
"21",0.47977763023734
"22",0.477739059940179
"23",0.471039903588697
"24",0.47423831546767
"25",0.476800982409386
"26",0.478643615022574
"27",0.503693911865061
"28",0.508278780913446
"29",0.503176715749608
"30",0.502181710347035
"31",0.523888571413881
"32",0.513039507528712
"33",0.51487684717162
"34",0.542018104078395
"35",0.544992672157501
"36",0.54350081637903
"37",0.556961113485423
"38",0.573349756105181
"39",0.574212633678357
"40",0.561434961094587
"41",0.557300294886415
"42",0.557369100237633
"43",0.533045433450688
"44",0.572325278259871
"45",0.595467136837313
"46",0.587396890661057
"47",0.596098103430424
"48",0.598022051594827
"49",0.593867704344898
"50",0.523549144397794
"51",0.581496061428145
"52",0.60875840175236
"53",0.608102602217888
"54",0.603638259991695
"55",0.603821748587443
"56",0.582789808990971
"57",0.475063891120764
"58",0.372117332219578
"59",0.383010867183168
"60",0.366166138145093
"61",0.359252355935134
"62",0.360720813439648
"63",0.363432278798461
"64",0.387478601914442
"65",0.349479636284459
"66",0.333443694156857
"67",0.310606231067083
"68",0.311752197686412
"69",0.324149194845078
"70",0.344723705439801
"71",0.35670391963713
"72",0.358542953843811
"73",0.432355660175885
"74",0.450079950769145
"75",0.461857114596422
"76",0.457584321079952
"77",0.451053140722233
"78",0.452896669819823
"79",0.452214430937798
"80",0.462759855195898
"81",0.461346550641022
"82",0.464080446093988
"83",0.464842025490621
"84",0.446093021523245
"85",0.456768414091432
"86",0.457488694555348
"87",0.466780734987667
"88",0.431754933661465
"89",0.435455254257066
"90",0.452422390230092
"91",0.455787656056944
"92",0.448568277584093
"93",0.457294843332087
"94",0.469639946142733
"95",0.46666357396817
"96",0.456919226031166
"97",0.442169185003896
"98",0.452607483531156
"99",0.445993329124777
"100",0.456098018858184
"101",0.460287623189504
"102",0.460878696798415
"103",0.470280803508461
"104",0.469937662908329
"105",0.40488614146858
"106",0.266732865366038
"107",0.268700186775294
"108",0.268864209666357
"109",0.263516863540296
"110",0.222953755118917
"111",0.208464454216417
"112",0.22143945894321
"113",0.239953555088616
"114",0.258184183241664
"115",0.264744648227219
"116",0.28872180029674
"117",0.29731357645356
"118",0.322577659546069
"119",0.331526254626256
"120",0.351763602235459
"121",0.354462728115731
"122",0.403157390741499
"123",0.384817159467646
"124",0.386549700268704
"125",0.365995337698024
"126",0.371060757562387
"127",0.351101524872527
"128",0.349275662613939
"129",0.348933913944067
"130",0.337549731452565
"131",0.340335069822809
"132",0.337448741719813
"133",0.288315559523564
"134",0.270832149856311
"135",0.238378648736675
"136",0.233197375272935
"137",0.223741630267943
"138",0.240922906897199
"139",0.186965995121364
"140",0.176980238245005
"141",0.152691890202098
"142",0.15355627617385
"143",0.258740095702611
"144",0.271467422999341
"145",0.249347871123434
"146",0.251211504670763
"147",0.274959195739327
"148",0.297349541228029
"149",0.301676275509454
"150",0.294927421826014
"151",0.297113291144092
"152",0.281519493164601
"153",0.312535169395902
"154",0.300595575246813
"155",0.302988085412178
"156",0.264198310740212
"157",0.294387786767715
"158",0.259029695840367
"159",0.249311345148866
"160",0.252878619825385
"161",0.260296207986718
"162",0.274868451333608
"163",0.27338503805657
"164",0.262513427475296
"165",0.258928830572074
"166",0.234971990072169
"167",0.259715735920944
"168",0.325440237725462
"169",0.337489693269765
"170",0.343844365734677
"171",0.34976602866316
"172",0.348979071506381
"173",0.342337365125016
"174",0.314142975542
"175",0.306631600456558
"176",0.325014748642031
"177",0.291200455023541
"178",0.350077047883465
"179",0.378925228135172
"180",0.432635355661863
"181",0.434654206755851
"182",0.445240857700632
"183",0.455411247929594
"184",0.47065758436111
"185",0.469419801157996
"186",0.492480762930682
"187",0.490313341900467
"188",0.381875129708537
"189",0.349588092356206
"190",0.342610174468096
